Time (s),Fᵧ (N),rᵧ (m)
8.460000038146973,-4.158307075500488,0.2240000069141388
8.470000267028809,-4.165074348449707,0.2240000069141388
8.479999542236328,-4.165074348449707,0.22380001842975616
8.489999771118164,-4.158307075500488,0.22360000014305115
8.5,-4.158307075500488,0.22339999675750732
8.510000228881836,-4.158307075500488,0.22300000488758087
8.520000457763672,-4.151539325714111,0.22260001301765442
8.529999732971191,-4.144771575927734,0.22219999134540558
8.539999961853027,-4.144771575927734,0.22179999947547913
8.550000190734863,-4.1312360763549805,0.22139999270439148
8.5600004196167,-4.1312360763549805,0.22100000083446503
8.569999694824219,-4.1244683265686035,0.22060000896453857
8.579999923706055,-4.117700576782227,0.22019998729228973
8.59000015258789,-4.11093282699585,0.21979999542236328
8.600000381469727,-4.104165077209473,0.2191999852657318
8.609999656677246,-4.097397327423096,0.21859999001026154
8.619999885559082,-4.090629577636719,0.21800000965595245
8.630000114440918,-4.083861827850342,0.2175999879837036
8.640000343322754,-4.077094078063965,0.21700000762939453
8.649999618530273,-4.077094078063965,0.21639999747276306
8.65999984741211,-4.063558578491211,0.2160000056028366
8.670000076293945,-4.056790828704834,0.21540001034736633
8.680000305175781,-4.056790828704834,0.21480000019073486
8.6899995803833,-4.04325532913208,0.2141999900341034
8.699999809265137,-4.029719829559326,0.21379999816417694
8.710000038146973,-4.036487579345703,0.21320000290870667
8.720000267028809,-4.022952079772949,0.21279999613761902
8.729999542236328,-4.009416580200195,0.21220000088214874
8.739999771118164,-4.002648830413818,0.21160002052783966
8.75,-4.002648830413818,0.210999995470047
8.760000228881836,-3.9958813190460205,0.21039998531341553
8.770000457763672,-3.9891135692596436,0.20980000495910645
8.779999732971191,-3.9823458194732666,0.20940001308918
8.789999961853027,-3.9755780696868896,0.20900002121925354
8.800000190734863,-3.9688103199005127,0.2085999995470047
8.8100004196167,-3.9688103199005127,0.20820000767707825
8.819999694824219,-3.9688103199005127,0.2078000009059906
8.829999923706055,-3.955274820327759,0.20720000565052032
8.84000015258789,-3.948507070541382,0.20680001378059387
8.850000381469727,-3.941739320755005,0.2062000036239624
8.859999656677246,-3.92820405960083,0.20579998195171356
8.869999885559082,-3.92820405960083,0.2053999900817871
8.880000114440918,-3.921436309814453,0.20499999821186066
8.890000343322754,-3.914668560028076,0.2043999880552292
