,mass A,,,,,,,,,,,,,,,,,,,,,,,,,
t,x,y,r,θr,vx,vy,v,θv,ax,ay,a,θa,θ,ω,α,step,frame,px,py,p,θp,pixelx,pixely,L,K,
0.517,-5.859E-2,-0.314,0.320,-100.6,-3.890E-3,1.954E-2,1.993E-2,101.3,-0.146,0.241,0.282,121.2,-100.6,-1.326,-33.61,31,267,-3.890E-3,1.954E-2,1.993E-2,101.3,445.5,1.387E3,1.145E-2,1.985E-4
0.534,-5.856E-2,-0.314,0.319,-100.6,-5.170E-4,1.563E-2,1.564E-2,91.89,0.405,-0.604,0.727,-56.13,-100.6,-0.605,91.25,32,268,-5.170E-4,1.563E-2,1.564E-2,91.89,445.6,1.386E3,1.180E-2,1.222E-4
0.550,-5.861E-2,-0.314,0.319,-100.6,6.613E-3,-7.650E-4,6.657E-3,-6.599,0.264,-0.670,0.720,-68.47,-100.6,1.191,68.63,33,269,6.613E-3,-7.650E-4,6.657E-3,-6.599,445.4,1.385E3,1.198E-2,2.216E-5
0.567,-5.834E-2,-0.314,0.319,-100.5,1.207E-2,-9.409E-3,1.531E-2,-37.93,-0.363,0.215,0.422,149.3,-100.5,2.439,-71.01,34,270,1.207E-2,-9.409E-3,1.531E-2,-37.93,446.1,1.386E3,1.231E-2,1.172E-4
0.584,-5.821E-2,-0.314,0.319,-100.5,-6.112E-3,6.694E-3,9.065E-3,132.4,-0.515,0.370,0.634,144.3,-100.5,-1.298,-102.9,35,271,-6.112E-3,6.694E-3,9.065E-3,132.4,446.4,1.386E3,1.249E-2,4.109E-5
0.600,-5.854E-2,-0.314,0.319,-100.6,-9.879E-3,8.249E-3,1.287E-2,140.1,0.187,-0.400,0.442,-64.90,-100.6,-2.013,46.22,36,272,-9.879E-3,8.249E-3,1.287E-2,140.1,445.6,1.385E3,1.297E-2,8.282E-5
0.617,-5.854E-2,-0.314,0.319,-100.6,4.414E-3,-1.108E-2,1.192E-2,-68.28,0.287,-0.198,0.348,-34.68,-100.6,1.142,57.04,37,273,4.414E-3,-1.108E-2,1.192E-2,-68.28,445.6,1.386E3,1.303E-2,7.110E-5
0.634,-5.840E-2,-0.314,0.320,-100.5,5.650E-4,-1.098E-3,1.235E-3,-62.76,-0.218,0.457,0.507,115.5,-100.5,0.136,-53.55,38,274,5.650E-4,-1.098E-3,1.235E-3,-62.76,446.0,1.386E3,1.337E-2,7.621E-7
0.650,-5.852E-2,-0.314,0.319,-100.6,-5.970E-3,1.081E-2,1.235E-2,118.9,-0.444,0.413,0.606,137.1,-100.6,-1.408,-91.96,39,275,-5.970E-3,1.081E-2,1.235E-2,118.9,445.7,1.386E3,1.366E-2,7.626E-5
0.667,-5.859E-2,-0.314,0.319,-100.6,-1.164E-2,8.345E-3,1.433E-2,144.4,8.861E-2,-0.801,0.806,-83.69,-100.6,-2.330,42.04,40,276,-1.164E-2,8.345E-3,1.433E-2,144.4,445.5,1.385E3,1.378E-2,1.026E-4
0.684,-5.891E-2,-0.314,0.319,-100.6,-6.967E-3,-1.120E-2,1.319E-2,-121.9,-0.125,-0.511,0.526,-103.7,-100.6,-0.859,-4.977,41,277,-6.967E-3,-1.120E-2,1.319E-2,-121.9,444.7,1.385E3,1.415E-2,8.697E-5
0.700,-5.883E-2,-0.314,0.320,-100.6,-9.355E-3,-1.769E-2,2.001E-2,-117.9,0.193,2.634E-2,0.195,7.775,-100.6,-1.062,33.20,42,278,-9.355E-3,-1.769E-2,2.001E-2,-117.9,444.9,1.386E3,1.471E-2,2.003E-4
0.717,-5.922E-2,-0.314,0.320,-100.7,-8.454E-3,-2.538E-3,8.827E-3,-163.3,0.230,0.514,0.563,65.83,-100.7,-1.405,23.59,43,279,-8.454E-3,-2.538E-3,8.827E-3,-163.3,444.0,1.386E3,1.510E-2,3.895E-5
0.734,-5.911E-2,-0.314,0.320,-100.7,4.931E-3,-3.027E-3,5.786E-3,-31.55,0.204,0.267,0.336,52.60,-100.7,0.969,27.08,44,280,4.931E-3,-3.027E-3,5.786E-3,-31.55,444.3,1.387E3,1.523E-2,1.674E-5
