Thu, Oct 24, 2024
3:43:35 PM

Temperature (K)	B-Field (Gauss)	sample I AB	sample I AD	sample I AC	sample I BD	sample I -AB	sample I -AD	sample I -AC	sample I -BD	Voltage DC	Voltage BC	Voltage BD	Voltage AC	Voltage -DC	Voltage -BC	Voltage -BD	Voltage -AC	
159.9550000	-4111.0000000	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0090150	0.0112275	0.0156633	0.0124457	-0.0101359	-0.0124992	-0.0162860	-0.0120762
161.2600000	-30.9500008	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0072801	0.0086614	0.0012677	-0.0011658	-0.0083321	-0.0098637	-0.0018895	0.0014599
162.5750000	4098.0000000	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0094756	0.0108921	-0.0124902	-0.0158584	-0.0104990	-0.0120790	0.0118635	0.0161421
164.1350000	-4110.0000000	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0095072	0.0117926	0.0158091	0.0123928	-0.0105387	-0.0130119	-0.0164717	-0.0121095
165.5600000	-30.8400002	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0077633	0.0092091	0.0013359	-0.0012850	-0.0087272	-0.0103667	-0.0019944	0.0015150
166.8450000	4097.0000000	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0099817	0.0114694	-0.0124918	-0.0160642	-0.0109285	-0.0126102	0.0118404	0.0162846
168.5700000	-4110.0000000	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0100409	0.0124175	0.0159841	0.0123524	-0.0109959	-0.0135832	-0.0166660	-0.0121292
169.9850000	-30.8700008	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0082697	0.0098077	0.0014255	-0.0014071	-0.0091867	-0.0109250	-0.0021001	0.0015808
171.2850000	4097.0000000	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0105223	0.0121048	-0.0124899	-0.0162883	-0.0114324	-0.0132177	0.0118288	0.0164592
172.8700000	-4109.0000000	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0105828	0.0130670	0.0161848	0.0123179	-0.0114976	-0.0141972	-0.0168667	-0.0121321
174.1600000	-30.7199993	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0087776	0.0104144	0.0015250	-0.0015224	-0.0096670	-0.0115042	-0.0021910	0.0016690
175.4350000	4097.0000000	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0110619	0.0127489	-0.0124760	-0.0164992	-0.0119474	-0.0138346	0.0118188	0.0166538
177.0200000	-4109.0000000	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0111142	0.0137127	0.0163870	0.0122957	-0.0120224	-0.0148273	-0.0170720	-0.0121477
178.4400000	-30.7900009	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0093161	0.0110579	0.0016327	-0.0016392	-0.0101952	-0.0121370	-0.0022995	0.0017558
179.7350000	4096.0000000	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0116285	0.0134266	-0.0124664	-0.0167309	-0.0125010	-0.0144951	0.0118128	0.0168526
181.4300000	-4109.0000000	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0117030	0.0144277	0.0166129	0.0122673	-0.0126011	-0.0155279	-0.0172986	-0.0121472
182.7150000	-30.7900009	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0098658	0.0117222	0.0017435	-0.0017629	-0.0107312	-0.0127816	-0.0024091	0.0018526
184.0150000	4096.0000000	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0122018	0.0141146	-0.0124548	-0.0169642	-0.0130626	-0.0151649	0.0118123	0.0170677
185.6950000	-4108.0000000	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0122870	0.0151368	0.0168493	0.0122497	-0.0131594	-0.0162022	-0.0175202	-0.0121480
187.0250000	-30.7600002	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0104360	0.0124095	0.0018621	-0.0018785	-0.0112870	-0.0134469	-0.0025198	0.0019486
188.4500000	4094.9997559	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0128143	0.0148436	-0.0124450	-0.0172119	-0.0136587	-0.0158784	0.0118051	0.0173036
190.0400000	-4107.0000000	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0128791	0.0158541	0.0170827	0.0122370	-0.0137356	-0.0169047	-0.0177460	-0.0121503
191.3850000	-30.6499996	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0110281	0.0131266	0.0019849	-0.0020088	-0.0118656	-0.0141466	-0.0026299	0.0020652
192.7500000	4094.9997559	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0134245	0.0155801	-0.0124350	-0.0174596	-0.0142569	-0.0165942	0.0118016	0.0175312
194.4400000	-4107.0000000	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0135162	0.0166324	0.0173377	0.0122130	-0.0143710	-0.0176750	-0.0180014	-0.0121505
195.7050000	-30.7199993	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0116474	0.0138763	0.0021149	-0.0021500	-0.0124766	-0.0148821	-0.0027545	0.0021815
197.1850000	4094.9997559	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0140643	0.0163532	-0.0124160	-0.0177261	-0.0149041	-0.0173624	0.0118010	0.0177768
198.9300000	-4107.0000000	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0141734	0.0174423	0.0176094	0.0121937	-0.0150289	-0.0184662	-0.0182521	-0.0121464
200.4500000	-30.9099998	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0123394	0.0147110	0.0022655	-0.0022842	-0.0131794	-0.0157126	-0.0028930	0.0023165
201.9000000	4093.9997559	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0147776	0.0172150	-0.0123938	-0.0180151	-0.0156126	-0.0182055	0.0117871	0.0180479
203.7000000	-4106.0000000	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0148838	0.0183092	0.0178934	0.0121681	-0.0157290	-0.0193121	-0.0185227	-0.0121510
205.2000000	-30.9300003	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0130577	0.0155831	0.0024180	-0.0024448	-0.0138820	-0.0165553	-0.0030321	0.0024432
206.7000000	4093.9997559	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0155112	0.0181034	-0.0123635	-0.0183041	-0.0163178	-0.0190486	0.0117765	0.0183077
208.4000000	-4106.0000000	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0156262	0.0192136	0.0181812	0.0121259	-0.0164329	-0.0201690	-0.0187944	-0.0121449
209.9000000	-30.7999992	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0137946	0.0164746	0.0025749	-0.0026165	-0.0145830	-0.0174027	-0.0031704	0.0025661
211.4000000	4093.9997559	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0162551	0.0189926	-0.0123331	-0.0186076	-0.0170299	-0.0198936	0.0117595	0.0185559
213.1500000	-4107.0000000	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0163682	0.0201184	0.0184549	0.0120659	-0.0171386	-0.0210117	-0.0190459	-0.0121468
214.6500000	-30.7999992	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0145393	0.0173794	0.0027338	-0.0027952	-0.0152941	-0.0182507	-0.0033107	0.0026937
216.1000000	4093.9997559	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0170026	0.0199012	-0.0122818	-0.0188962	-0.0177425	-0.0207438	0.0117280	0.0187808
217.9000000	-4106.0000000	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0171231	0.0210393	0.0187272	0.0119858	-0.0178556	-0.0218736	-0.0192899	-0.0121339
219.4000000	-30.7199993	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0152977	0.0183064	0.0029053	-0.0029801	-0.0160114	-0.0190830	-0.0034271	0.0027907
220.8500000	4093.0000000	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0177619	0.0208548	-0.0121760	-0.0192069	-0.0184361	-0.0215264	0.0117238	0.0189376
222.6500000	-4106.0000000	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0179159	0.0220352	0.0190020	0.0117955	-0.0185206	-0.0226427	-0.0194649	-0.0121796
224.0500000	-31.0699997	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0160979	0.0192986	0.0030976	-0.0032394	-0.0166962	-0.0198952	-0.0035515	0.0028456
225.6000000	4093.0000000	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0185586	0.0218038	-0.0120728	-0.0194856	-0.0191624	-0.0224028	0.0116208	0.0190783
227.3500000	-4105.0000000	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0186831	0.0229665	0.0191907	0.0116578	-0.0192883	-0.0235589	-0.0196421	-0.0120556
228.8500000	-30.7299995	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0168713	0.0202230	0.0032427	-0.0034092	-0.0174660	-0.0208148	-0.0037051	0.0029919
230.3000000	4093.0000000	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0193141	0.0227163	-0.0118928	-0.0196136	-0.0198940	-0.0232905	0.0114307	0.0191790
232.1000000	-4105.0000000	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0194239	0.0238440	0.0192564	0.0114242	-0.0200052	-0.0244147	-0.0196946	-0.0118184
233.6000000	-31.3299999	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0175979	0.0211041	0.0033919	-0.0035646	-0.0181811	-0.0216704	-0.0038503	0.0031299
235.1000000	4093.0000000	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0200004	0.0235502	-0.0115537	-0.0195634	-0.0205661	-0.0241055	0.0110759	0.0190798
236.8000000	-4105.0000000	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0200601	0.0246035	0.0190890	0.0109736	-0.0206303	-0.0251424	-0.0194867	-0.0113599
238.3000000	-30.6700001	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0182161	0.0218475	0.0035195	-0.0037021	-0.0187680	-0.0223777	-0.0039609	0.0032528
239.8000000	4093.0000000	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0205231	0.0242048	-0.0109036	-0.0191473	-0.0210533	-0.0247209	0.0103958	0.0185889
241.5500000	-4104.0000000	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0204836	0.0250956	0.0184643	0.0101382	-0.0210207	-0.0255620	-0.0187827	-0.0104860
243.0500000	-30.7500000	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0185704	0.0222835	0.0036036	-0.0038089	-0.0190850	-0.0227612	-0.0040282	0.0033248
244.5500000	4092.0000000	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0206951	0.0244753	-0.0097234	-0.0180737	-0.0211777	-0.0249463	0.0091508	0.0173928
246.3500000	-4104.0000000	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0204573	0.0250288	0.0170579	0.0086633	-0.0209655	-0.0254099	-0.0172683	-0.0089572
247.8000000	-30.8700008	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0184310	0.0221455	0.0035935	-0.0038353	-0.0188914	-0.0225417	-0.0039991	0.0033182
249.3000000	4093.0000000	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0202553	0.0240574	-0.0077636	-0.0160113	-0.0206388	-0.0244363	0.0071180	0.0151762
251.1000000	-4104.0000000	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0196997	0.0240704	0.0145433	0.0063473	-0.0201549	-0.0243106	-0.0146266	-0.0065842
252.5500000	-30.7600002	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0175238	0.0211049	0.0034468	-0.0037406	-0.0179082	-0.0213771	-0.0038134	0.0031654
254.1500000	4092.0000000	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0188761	0.0225304	-0.0049634	-0.0127602	-0.0191270	-0.0227792	0.0042799	0.0117491
256.0000000	-4104.0000000	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0178763	0.0218214	0.0108651	0.0032750	-0.0182583	-0.0218784	-0.0108199	-0.0034968
257.5500000	-30.7099991	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0155997	0.0188307	0.0030795	-0.0034331	-0.0159040	-0.0189821	-0.0034094	0.0028088
259.0500000	4089.0002441	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0163734	0.0196475	-0.0018975	-0.0087513	-0.0165571	-0.0198287	0.0012610	0.0077457
260.9500000	-4104.0000000	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0151492	0.0184603	0.0069225	0.0004177	-0.0154848	-0.0184309	-0.0069130	-0.0007391
