Mon, Oct 28, 2024
12:40:34 PM

Temperature (K)	B-Field (Gauss)	sample I AB	sample I AD	sample I AC	sample I BD	sample I -AB	sample I -AD	sample I -AC	sample I -BD	Voltage DC	Voltage BC	Voltage BD	Voltage AC	Voltage -DC	Voltage -BC	Voltage -BD	Voltage -AC	
132.4600000	4110.0000000	0.0000300	0.0000300	0.0000300	0.0000300	-0.0000300	-0.0000300	-0.0000300	-0.0000300	0.0131701	0.0146015	-0.0252268	-0.0300600	-0.0133713	-0.0152993	0.0241814	0.0292260
134.0800000	-4124.0000000	0.0000300	0.0000300	0.0000300	0.0000300	-0.0000300	-0.0000300	-0.0000300	-0.0000300	0.0132344	0.0163052	0.0293409	0.0244463	-0.0134470	-0.0170694	-0.0304653	-0.0252472
135.3750000	-31.0900002	0.0000300	0.0000300	0.0000300	0.0000300	-0.0000300	-0.0000300	-0.0000300	-0.0000300	0.0101487	0.0117389	0.0015504	-0.0019697	-0.0103685	-0.0124527	-0.0026030	0.0011681
136.7850000	4109.0000000	0.0000300	0.0000300	0.0000300	0.0000300	-0.0000300	-0.0000300	-0.0000300	-0.0000300	0.0139910	0.0155762	-0.0251846	-0.0303306	-0.0142094	-0.0162898	0.0241407	0.0295082
138.5050000	-4122.0000000	0.0000300	0.0000300	0.0000300	0.0000300	-0.0000300	-0.0000300	-0.0000300	-0.0000300	0.0140895	0.0173363	0.0296274	0.0244101	-0.0143034	-0.0180969	-0.0307453	-0.0251956
139.8850000	-31.2199993	0.0000300	0.0000300	0.0000300	0.0000300	-0.0000300	-0.0000300	-0.0000300	-0.0000300	0.0109327	0.0126769	0.0017017	-0.0021138	-0.0111602	-0.0133984	-0.0027536	0.0013271
141.2850000	4108.0000000	0.0000300	0.0000300	0.0000300	0.0000300	-0.0000300	-0.0000300	-0.0000300	-0.0000300	0.0148942	0.0166475	-0.0251361	-0.0306229	-0.0151125	-0.0173579	0.0241018	0.0298200
142.8450000	-4122.0000000	0.0000300	0.0000300	0.0000300	0.0000300	-0.0000300	-0.0000300	-0.0000300	-0.0000300	0.0149663	0.0183952	0.0299340	0.0243750	-0.0151858	-0.0191546	-0.0310396	-0.0251450
144.1500000	-31.2999992	0.0000300	0.0000300	0.0000300	0.0000300	-0.0000300	-0.0000300	-0.0000300	-0.0000300	0.0117141	0.0136082	0.0018564	-0.0022516	-0.0119497	-0.0143320	-0.0029042	0.0014730
145.4250000	4107.0000000	0.0000300	0.0000300	0.0000300	0.0000300	-0.0000300	-0.0000300	-0.0000300	-0.0000300	0.0157441	0.0176608	-0.0250957	-0.0309072	-0.0159698	-0.0183714	0.0240685	0.0301203
147.1150000	-4121.0000000	0.0000300	0.0000300	0.0000300	0.0000300	-0.0000300	-0.0000300	-0.0000300	-0.0000300	0.0158575	0.0194717	0.0302437	0.0243395	-0.0160913	-0.0202370	-0.0313473	-0.0251043
148.4150000	-31.0300007	0.0000300	0.0000300	0.0000300	0.0000300	-0.0000300	-0.0000300	-0.0000300	-0.0000300	0.0125340	0.0145890	0.0020166	-0.0024020	-0.0127720	-0.0153126	-0.0030530	0.0016373
149.7000000	4107.0000000	0.0000300	0.0000300	0.0000300	0.0000300	-0.0000300	-0.0000300	-0.0000300	-0.0000300	0.0166576	0.0187429	-0.0250583	-0.0312171	-0.0168982	-0.0194656	0.0240372	0.0304457
151.3950000	-4120.0000000	0.0000300	0.0000300	0.0000300	0.0000300	-0.0000300	-0.0000300	-0.0000300	-0.0000300	0.0167861	0.0205879	0.0305698	0.0243112	-0.0170219	-0.0213460	-0.0316570	-0.0250660
152.7000000	-31.1900005	0.0000300	0.0000300	0.0000300	0.0000300	-0.0000300	-0.0000300	-0.0000300	-0.0000300	0.0133933	0.0156119	0.0021862	-0.0025544	-0.0136363	-0.0163347	-0.0032174	0.0017966
154.0600000	4107.0000000	0.0000300	0.0000300	0.0000300	0.0000300	-0.0000300	-0.0000300	-0.0000300	-0.0000300	0.0176235	0.0198906	-0.0250239	-0.0315446	-0.0178630	-0.0206093	0.0240056	0.0307811
155.6050000	-4119.0000000	0.0000300	0.0000300	0.0000300	0.0000300	-0.0000300	-0.0000300	-0.0000300	-0.0000300	0.0177175	0.0217085	0.0309016	0.0242828	-0.0179583	-0.0224629	-0.0319758	-0.0250304
156.9150000	-31.1900005	0.0000300	0.0000300	0.0000300	0.0000300	-0.0000300	-0.0000300	-0.0000300	-0.0000300	0.0142556	0.0166447	0.0023571	-0.0027151	-0.0144998	-0.0173588	-0.0033755	0.0019624
