"Latest: Time (s)","Latest: Illumination (lux)"
14.05,150.543365479
14.1,150.167388916
14.15,149.791412354
14.2,149.051208496
14.25,148.487243652
14.3,148.299255371
14.35,148.299255371
14.4,147.747039795
14.45,147.559051514
14.5,146.807098389
14.55,146.431121826
14.6,145.502929688
14.65,144.562988281
14.7,144.187011719
14.75,143.634796143
14.8,142.694854736
14.85,142.318878174
14.9,141.954650879
14.95,141.766662598
15,141.014709473
15.05,140.826721191
15.1,140.274505615
15.15,139.710540771
15.2,139.898529053
15.25,139.334564209
15.3,139.146575928
15.35,138.218383789
15.4,138.218383789
15.45,137.842407227
15.5,137.278442383
15.55,136.538238525
15.6,136.350250244
15.65,135.974273682
15.7,135.7862854
15.75,135.7862854
15.8,135.7862854
15.85,135.410308838
15.9,134.858093262
15.95,134.67010498
16,134.106140137
16.05,134.294128418
16.1,134.106140137
16.15,133.730163574
16.2,133.177947998
16.25,133.177947998
16.3,132.989959717
16.35,132.238006592
16.4,132.238006592
16.45,132.050018311
16.5,132.050018311
16.55,131.862030029
16.6,131.486053467
16.65,131.121826172
16.7,130.369873047
16.75,130.181884766
16.8,129.993896484
16.85,129.617919922
16.9,128.877716064
16.95,128.689727783
17,128.501739502
17.05,128.313751221
17.1,128.313751221
17.15,128.313751221
17.2,127.937774658
17.25,127.385559082
17.3,127.197570801
17.35,127.385559082
17.4,127.00958252
17.45,127.197570801
17.5,126.633605957
17.55,126.633605957
17.6,126.821594238
17.65,126.633605957
17.7,126.821594238
17.75,126.821594238
17.8,127.00958252
17.85,127.00958252
17.9,126.445617676
17.95,126.445617676
18,126.633605957
18.05,126.445617676
18.1,126.633605957
18.15,126.445617676
18.2,126.633605957
18.25,126.257629395
18.3,125.8934021
18.35,126.257629395
18.4,126.069641113
18.45,126.069641113
18.5,125.517425537
18.55,125.705413818
18.6,125.705413818
18.65,125.705413818
18.7,125.8934021
18.75,126.069641113
18.8,125.8934021
18.85,126.069641113
18.9,126.069641113
18.95,126.445617676
19,126.633605957
19.05,127.00958252
19.1,128.125762939
19.15,129.253692627
19.2,130.369873047
19.25,131.862030029
19.3,133.542175293
19.35,134.294128418
19.4,134.294128418
19.45,133.542175293
19.5,132.050018311
19.55,131.309814453
19.6,130.181884766
