"Latest: Time (s)","Latest: Illumination (lux)"
24.25,513.01574707
24.3,513.01574707
24.35,513.01574707
24.4,513.01574707
24.45,513.01574707
24.5,513.01574707
24.55,513.01574707
24.6,513.01574707
24.65,513.01574707
24.7,513.01574707
24.75,513.01574707
24.8,513.01574707
24.85,513.01574707
24.9,513.01574707
24.95,513.01574707
25,513.01574707
25.05,513.01574707
25.1,513.01574707
25.15,513.01574707
25.2,513.01574707
25.25,513.01574707
25.3,513.01574707
25.35,513.01574707
25.4,513.01574707
25.45,513.01574707
25.5,513.01574707
25.55,513.01574707
25.6,513.01574707
25.65,513.01574707
25.7,513.01574707
25.75,513.01574707
25.8,513.01574707
25.85,513.01574707
25.9,513.01574707
25.95,513.01574707
26,513.01574707
26.05,513.01574707
26.1,513.01574707
26.15,513.01574707
26.2,513.01574707
26.25,513.01574707
26.3,513.01574707
26.35,513.01574707
26.4,513.01574707
26.45,513.01574707
26.5,513.01574707
26.55,513.01574707
26.6,513.01574707
26.65,513.01574707
26.7,513.01574707
26.75,513.01574707
26.8,513.01574707
26.85,513.01574707
26.9,513.01574707
26.95,513.01574707
27,513.01574707
27.05,513.01574707
27.1,513.01574707
27.15,513.01574707
27.2,513.01574707
27.25,513.01574707
27.3,513.01574707
27.35,513.01574707
27.4,513.01574707
27.45,513.01574707
27.5,513.01574707
27.55,513.01574707
27.6,513.01574707
27.65,513.01574707
27.7,513.01574707
27.75,513.01574707
27.8,513.01574707
27.85,513.01574707
27.9,513.01574707
27.95,513.01574707
28,513.01574707
28.05,513.01574707
28.1,513.01574707
28.15,513.01574707
28.2,513.01574707
28.25,513.01574707
28.3,513.01574707
28.35,513.01574707
28.4,513.01574707
28.45,513.01574707
28.5,513.01574707
28.55,513.01574707
28.6,556.988525391
28.65,650.797119141
28.7,697.701416016
28.75,838.414306641
28.8,932.222900391
28.85,1023.09997559
28.9,1116.90856934
28.95,1116.90856934
29,1116.90856934
29.05,1116.90856934
29.1,1116.90856934
29.15,1116.90856934
29.2,1116.90856934
29.25,1116.90856934
29.3,1116.90856934
29.35,1116.90856934
29.4,1116.90856934
29.45,1116.90856934
29.5,1116.90856934
29.55,1070.00427246
29.6,1116.90856934
29.65,1116.90856934
29.7,1116.90856934
29.75,1116.90856934
29.8,1116.90856934
29.85,1116.90856934
29.9,1116.90856934
29.95,1116.90856934
30,1116.90856934
30.05,1116.90856934
30.1,1116.90856934
